Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
CAML3,Camil Alimentos,697.800,"8,83","-0,11%",3011171328.0,17/02/2024
MOVI3,Movida,6.487.000,"8,09","-0,12%",2894440192.0,17/02/2024
MILS3,Mills,758.900,"11,93","-0,58%",2881095168.0,17/02/2024
JHSF3,JHSF,3.155.000,"4,26","+0,71%",2879730432.0,17/02/2024
SBFG3,Grupo SBF,4.003.200,"11,76","+1,12%",2865782528.0,17/02/2024
ORVR3,Orizon,324.200,"33,08","+0,49%",2744019200.0,17/02/2024
HBSA3,Hidrovias do Brasil,5.831.000,"3,59","+1,13%",2729774848.0,17/02/2024
BMEB4,Banco Mercantil do Brasil,8.100,"25,25","-1,83%",2553507328.0,17/02/2024
BMEB3,Banco Mercantil do Brasil,200,"23,95","-3,43%",2553501184.0,17/02/2024
VVEO3,Viveo,1.856.800,"7,95","+0,51%",2544373760.0,17/02/2024
CLSC4,Celesc,2.900,"66,15","+0,98%",2533968384.0,17/02/2024
CLSC3,Celesc,200,"65,02","-5,52%",2533965824.0,17/02/2024
MATD3,Mater Dei,332.900,"6,63","+1,69%",2532945152.0,17/02/2024
GUAR3,Guararapes,1.674.000,"5,02","+3,72%",2505968896.0,17/02/2024
CEAB3,C&A,2.563.200,"8,10","+1,63%",2475319808.0,17/02/2024
GEPA4,Rio Paranapanema Energia,200,"25,67","-0,04%",2465023488.0,17/02/2024
GEPA3,Rio Paranapanema Energia,600,"26,97","+0,11%",2465022976.0,17/02/2024
RANI3,Irani,575.700,"10,22","+0,99%",2451062784.0,17/02/2024
PLPL3,Plano&Plano,966.100,"12,10","+5,58%",2398897664.0,17/02/2024
AGRO3,BrasilAgro,270.100,"23,98","+1,70%",2388779776.0,17/02/2024
AMBP3,Ambipar,485.700,"14,18","+1,36%",2368655616.0,17/02/2024
ELMD3,Eletromidia,23.200,"17,00","-1,73%",2365346048.0,17/02/2024
CBAV3,CBA,4.541.500,"3,88","+3,74%",2314431488.0,17/02/2024
JALL3,Jalles Machado,454.500,"7,47","-0,66%",2252563456.0,17/02/2024
TFCO4,Track & Field,39.600,"14,30","+2,14%",2224121856.0,17/02/2024
BMGB4,Banco BMG,1.275.900,"3,83","-0,26%",2221595392.0,17/02/2024
BLAU3,Blau Farmacêutica,219.000,"12,22","+3,12%",2171261696.0,17/02/2024
LOGG3,LOG CP,100.200,"20,45","+1,24%",2051973504.0,17/02/2024
LIGT3,Light,502.800,"5,50","+2,80%",2049052544.0,17/02/2024
MYPK3,Iochpe-Maxion,1.125.700,"12,25","+3,03%",1840807552.0,17/02/2024
SOJA3,Boa Safra Sementes,240.400,"15,57","+2,77%",1823869824.0,17/02/2024
TASA4,Taurus,215.900,"14,33","+0,63%",1807428608.0,17/02/2024
TASA3,Taurus,9.400,"14,31","+0,42%",1807424640.0,17/02/2024
VSTE3,LE LIS BLANC,3.600,"16,40","-2,38%",1750470400.0,17/02/2024
